,Rank1,Superkingdom,Phylum,Class,Order,Family,Genus,Species_group,Species
sv-0855,Root,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter,Acinetobacter ursingii
sv-0264,Root,Bacteria,Actinobacteria (phylum),Actinobacteria (class),Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces,Actinomyces europaeus
sv-0190,Root,Bacteria,Actinobacteria (phylum),Actinobacteria (class),Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces,Actinomyces hongkongensis
sv-0163,Root,Bacteria,Actinobacteria (phylum),Actinobacteria (class),Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces,Actinomyces neuii
sv-0046,Root,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus,Aerococcus christensenii
sv-0103,Root,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus,Anaerococcus
sv-0197,Root,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus,Anaerococcus hydrogenalis/rubeinfantis
sv-0097,Root,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus,Anaerococcus mediterraneensis
sv-0204,Root,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus,Anaerococcus octavius
sv-0043,Root,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus,Anaerococcus prevotii/tetradius
sv-0278,Root,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus,Anaerococcus provencensis
sv-0232,Root,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus,Anaerococcus senegalensis
sv-0165,Root,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus,Anaerococcus vaginalis
sv-0091,Root,Bacteria,Actinobacteria (phylum),Actinobacteria (class),Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium,Arcanobacterium
sv-0005,Root,Bacteria,Actinobacteria (phylum),Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Atopobium,Atopobium vaginae
sv-0218,Root,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia,Bulleidia
sv-0004,Root,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,BVAB1 (genus),BVAB1 (genus),BVAB1 (species)
sv-0014,Root,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,BVAB2 (genus),BVAB2 (genus),BVAB2 (species)
sv-0144,Root,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter,Campylobacter ureolyticus
